Date,Chapter,Day,Exercises link
Mon 17 Oct,0 - Prerequisites,W0D1,https://arena-ch0.streamlit.app/W0D1_-_Fourier_Transforms
Tue 18 Oct,0 - Prerequisites,W0D2,"https://arena-ch0.streamlit.app/W0D2_-_as_strided,_convolutions_and_CNNs"
Wed 19 Oct,0 - Prerequisites,W0D3,https://arena-ch0.streamlit.app/W0D3_-_ResNets_and_fine-tuning
Thu 20 Oct,0 - Prerequisites,W0D4,https://arena-ch0.streamlit.app/W0_BONUS_-_Build_Your_Own_Backprop
Fri 21 Oct,0 - Prerequisites,W0D5,
Sat 22 Oct,,,
Sun 23 Oct,,,
Mon 24 Oct,1 - Transformers,W1D1,https://arena-ch1.streamlit.app/W1D1_-_Transformer_Reading
Tue 25 Oct,1 - Transformers,W1D2,https://arena-ch1.streamlit.app/W1D2_-_Transformer_Exercises
Wed 26 Oct,1 - Transformers,W1D3,https://arena-ch1.streamlit.app/W1D3_-_Build_your_own_transformer_(1)
Thu 27 Oct,1 - Transformers,W1D4,https://arena-ch1.streamlit.app/W1D4-5_-_Build_your_own_transformer_(2)
Fri 28 Oct,1 - Transformers,W1D5,https://arena-ch1.streamlit.app/W1D4-5_-_Build_your_own_transformer_(2)
Sat 29 Oct,,,
Sun 30 Oct,,,
Mon 31 Oct,1 - Transformers,W2D1,https://arena-ch1.streamlit.app/W2D1_-_Weights_and_Biases
Tue 01 Nov,1 - Transformers,W2D2,https://arena-ch1.streamlit.app/W2D2-5_-_Further_Investigations
Wed 02 Nov,1 - Transformers,W2D3,https://arena-ch1.streamlit.app/W2D2-5_-_Further_Investigations
Thu 03 Nov,1 - Transformers,W2D4,https://arena-ch1.streamlit.app/W2D2-5_-_Further_Investigations
Fri 04 Nov,1 - Transformers,W2D5,https://arena-ch1.streamlit.app/W2D2-5_-_Further_Investigations
Sat 05 Nov,,,
Sun 06 Nov,,,
Mon 07 Nov,2 - Optimisation,W3D1,https://arena-ch2.streamlit.app/W3D1_-_Optimiser_Exercises
Tue 08 Nov,2 - Optimisation,W3D2,https://arena-ch2.streamlit.app/W3D2_-_Optimiser_Investigations
Wed 09 Nov,3 - Scaling Laws,W3D3,
Thu 10 Nov,3 - Scaling Laws,W3D4,
Fri 11 Nov,3 - Scaling Laws,W3D5,
Sat 12 Nov,,,
Sun 13 Nov,,,
Mon 14 Nov,   4A - Modelling Objectives <br>or 4B - Training at Scale,W4D1,
Tue 15 Nov,   4A - Modelling Objectives <br>or 4B - Training at Scale,W4D2,
Wed 16 Nov,   4A - Modelling Objectives <br>or 4B - Training at Scale,W4D3,
Thu 17 Nov,   4A - Modelling Objectives <br>or 4B - Training at Scale,W4D4,
Fri 18 Nov,   4A - Modelling Objectives <br>or 4B - Training at Scale,W4D5,
Sat 19 Nov,,,
Sun 20 Nov,,,
Mon 21 Nov,5 - RL,W5D1,
Tue 22 Nov,5 - RL,W5D2,
Wed 23 Nov,5 - RL,W5D3,
Thu 24 Nov,5 - RL,W5D4,
Fri 25 Nov,5 - RL,W5D5,
Sat 26 Nov,,,
Sun 27 Nov,,,
Mon 28 Nov,5 - RL,W6D1,
Tue 29 Nov,5 - RL,W6D2,
Wed 30 Nov,6 - Interpretability,W6D3,
Thu 01 Dec,6 - Interpretability,W6D4,
Fri 02 Dec,6 - Interpretability,W6D5,
Sat 03 Dec,,,
Sun 04 Dec,,,
Mon 05 Dec,6 - Interpretability,W7D1,
Tue 06 Dec,6 - Interpretability,W7D2,
Wed 07 Dec,6 - Interpretability,W7D3,
Thu 08 Dec,6 - Interpretability,W7D4,
Fri 09 Dec,6 - Interpretability,W7D5,
Sat 10 Dec,,,
Sun 11 Dec,,,
Mon 12 Dec,7 - Adversarial Training,W8D1,
Tue 13 Dec,7 - Adversarial Training,W8D2,
Wed 14 Dec,7 - Adversarial Training,W8D3,
Thu 15 Dec,8 - Capstone Projects,W8D4,
Fri 16 Dec,8 - Capstone Projects,W8D5,
Sat 17 Dec,,,
Sun 18 Dec,,,
Mon 19 Dec,8 - Capstone Projects,W9D1,
Tue 20 Dec,8 - Capstone Projects,W9D2,
Wed 21 Dec,8 - Capstone Projects,W9D3,
Thu 22 Dec,8 - Capstone Projects,W9D4,
Fri 23 Dec,8 - Capstone Projects,W9D5,
